road,segmentNo,width,nrLanes,Km
N104,7,8.535010197144798,2.5962901816062924,10.296999999999997
N104,8,11.024338734971245,3.076842655514897,1.9130000000000038
N104,9,7.41532656852937,2.0,6.997
N104,10,9.212258064516128,2.672811059907834,2.1700000000000017
N104,11,6.8303837471783275,2.0,4.43
N105,1,7.751073070217149,2.126802979870027,6.309
N105,2,7.27545888512473,2.0,6.493999999999999
N105,3,15.321391066761676,2.385127108576859,8.418000000000001
N105,4,7.42944918121532,2.040330220598187,7.388999999999999
N105,5,7.873595654478008,2.184552199258081,7.548000000000002
N105,6,7.332936991869921,2.0282520325203266,9.840000000000003
N105,7,8.0428026361429,2.244883801595557,2.8829999999999956
N106,1,11.644389763779527,3.256561679790026,12.192
N106,2,5.7220157104783285,2.0,7.128999999999998
N106,3,5.70432073954984,2.0,4.975999999999999
N106,4,6.114220183486238,2.0,0.9810000000000052
N106,5,6.9120781824256605,2.0,11.971999999999998
N106,6,7.300000000000001,2.0,4.575000000000003
N106,7,7.37341933654664,2.0,7.053999999999995
N106,8,7.304421889838556,2.0,8.424000000000007
N106,9,7.66732481407772,2.1246464858070597,9.54699999999999
N107,1,5.903415623943186,2.0,2.957
N107,2,5.680459272097053,2.0,2.308
N107,3,5.5904794390752315,2.0,5.277
N108,1,5.846644780621977,2.0388181535867975,22.541
N110,1,8.0,2.0,1.89
N110,2,6.945324881141046,2.0,6.31
N2,1,10.513705144833551,2.786856895806312,2.313
N2,2,7.234174860483657,2.0478341748604834,3.7630000000000003
N2,3,7.4550148957298905,2.0456802383316783,5.034999999999998
N2,4,9.666628175519628,2.623556581986143,0.8660000000000014
N2,5,9.064812582200792,2.2267645769399387,18.248
N2,6,15.7698580489277,2.242222893385684,3.311
N2,7,8.852996548478192,2.463340654743227,9.561
N2,8,8.071552697888599,2.1285950125988338,11.509
N2,9,7.950870447506141,2.10488091423689,9.362999999999992
N2,10,8.354321174511899,2.25185409414258,6.6070000000000135
N2,11,16.468380114981393,3.9120730470071,2.9569999999999936
N2,12,7.7555736371033355,2.0956061838893407,12.289999999999992
N2,13,9.042372881355929,2.47457627118644,0.5900000000000034
N2,14,7.891151567885942,2.134901777048959,29.881
N2,15,7.520447731361182,2.0319808115130913,25.015
N2,16,7.847377472055062,2.104041272570945,4.652000000000015
N2,17,7.569184222321832,2.0520786642761104,35.696
N2,18,7.552637977145593,2.035497203987347,4.1129999999999995
N2,19,7.52089027723546,2.0281140179617347,5.121999999999986
N2,20,7.507131280388981,2.02860968219294,14.191000000000003
N2,21,7.4,2.0,10.748999999999995
N2,22,7.4383097905504165,2.0147345348270833,8.212000000000018
N2,23,8.0850263355907,2.209932279909707,1.3289999999999793
N2,24,8.2498322147651,2.13003355704698,2.3840000000000146
N2,25,8.99793524167066,2.499765368371682,2.1310000000000002
N2,26,7.3,2.0,8.034999999999997
N2,27,7.3,2.0,24.199000000000012
N2,28,7.3,2.0,19.976
N2,29,7.299999999999999,2.0,4.4179999999999495
N204,1,5.325972729773272,1.5064049667963375,25.449
N204,2,5.619596522514486,1.6479603209986617,8.971999999999998
N205,1,7.598594594594594,2.0,1.85
N205,2,9.9,3.0,0.6280000000000001
N206,1,10.7449081803005,3.2776850306065666,1.797
N207,1,7.488963210702342,2.0,2.99
N207,2,7.6143607295231845,2.0140653570256455,21.329
N207,3,6.804909130013981,1.8563017528766534,18.598
N207,4,7.1178873464177475,2.383357268230414,25.067999999999998
N208,1,7.121316614420063,2.19435736677116,3.19
N208,2,6.843910037970986,2.0,10.270999999999999
N208,3,5.993769453829577,2.0114395168799386,37.589
N208,4,5.6,2.0,2.2920000000000016
N208,5,8.044618348182034,2.0,4.152999999999999
N209,1,10.028195488721806,2.6917293233082704,1.33
N3,1,30.2,8.0,1.81
N3,2,31.085552642472745,8.0,7.247
N3,3,26.913319672131152,8.0,1.4639999999999986
N3,4,19.009090909090915,5.51196172248804,0.2090000000000014
N3,5,14.666045889494802,4.0,9.719000000000001
N3,6,14.670879526977076,4.005912786400588,1.352999999999998
N3,7,17.03117617804302,4.556011438517966,8.043
N3,8,14.95,4.0,4.183
N3,9,14.95,4.0,10.844000000000001
N3,10,14.9111600402617,4.0,3.9740000000000038
N3,11,14.6,4.0,0.7100000000000009
N3,12,14.6,4.0,20.734999999999992
N3,13,14.6,4.0,0.0040000000000048885
N3,14,14.6,4.0,4.7109999999999985
N3,15,14.6,4.0,4.828000000000003
N3,16,14.599999999999998,4.0,11.288000000000011
N3,17,14.6,4.0,15.461999999999989
N3,18,14.6,4.0,3.414999999999992
N3,19,7.3,2.0,1.5840000000000032
